Category,YoY Change(Percent),MoM Change(Percent),Industry Name,Job Postings,State
Remote,41,-5,Administrative and Support Services,1547,Minnesota
Remote,-6,14,"Professional, Scientific, and Technical Services",1496,Minnesota
Remote,49,35,Publishing Industries (except Internet),388,Minnesota
Remote,85,-30,Ambulatory Health Care Services,244,Minnesota
Remote,3114,105,Food and Beverage Stores,225,Minnesota
Remote,94,49,Hospitals,209,Minnesota
Remote,17,25,Credit Intermediation and Related Activities,193,Minnesota
Remote,146,-10,Computer and Electronic Product Manufacturing,187,Minnesota
Remote,-5,24,Educational Services,148,Minnesota
Physical+Remote,-36,2,Administrative and Support Services,33643,Minnesota
Physical+Remote,-38,10,"Professional, Scientific, and Technical Services",19695,Minnesota
Physical+Remote,0,6,Truck Transportation,17936,Minnesota
Physical+Remote,-39,2,Food Services and Drinking Places,10795,Minnesota
Physical+Remote,-18,7,Ambulatory Health Care Services,10597,Minnesota
Physical+Remote,-6,7,Hospitals,9815,Minnesota
Physical+Remote,-9,8,General Merchandise Stores,7947,Minnesota
Physical+Remote,1,10,Food and Beverage Stores,6002,Minnesota
Physical+Remote,-33,8,Educational Services,5830,Minnesota
Physical+Remote,-60,13,Insurance Carriers and Related Activities,5777,Minnesota
Remote,-27,-9,Administrative and Support Services,682,Mississippi
Remote,29,11,Insurance Carriers and Related Activities,432,Mississippi
Remote,-54,4,"Professional, Scientific, and Technical Services",384,Mississippi
Remote,21400,150,Food and Beverage Stores,215,Mississippi
Remote,62,32,Educational Services,172,Mississippi
Remote,2800,-31,Hospitals,116,Mississippi
Remote,100,46,Publishing Industries (except Internet),86,Mississippi
Remote,65,-33,Ambulatory Health Care Services,56,Mississippi
Remote,65,16,Social Assistance,43,Mississippi
Remote,158,-3,Real Estate,31,Mississippi
Physical+Remote,-21,2,Truck Transportation,17518,Mississippi
Physical+Remote,-38,-2,Administrative and Support Services,9981,Mississippi
Physical+Remote,-26,-4,Food Services and Drinking Places,7441,Mississippi
Physical+Remote,7,3,Ambulatory Health Care Services,4538,Mississippi
Physical+Remote,-29,4,"Professional, Scientific, and Technical Services",4194,Mississippi
Physical+Remote,-15,10,General Merchandise Stores,4102,Mississippi
Physical+Remote,26,8,Hospitals,2484,Mississippi
Physical+Remote,-45,29,Support Activities for Transportation,2419,Mississippi
Physical+Remote,46,10,Motor Vehicle and Parts Dealers,2071,Mississippi
Physical+Remote,45,11,Food and Beverage Stores,1905,Mississippi
Physical+Remote,6,10,Truck Transportation,40574,Missouri
Physical+Remote,-38,2,Administrative and Support Services,28845,Missouri
Physical+Remote,-31,-1,"Professional, Scientific, and Technical Services",18073,Missouri
Physical+Remote,-34,-2,Food Services and Drinking Places,15811,Missouri
Physical+Remote,4,7,Ambulatory Health Care Services,15458,Missouri
Physical+Remote,-3,7,Hospitals,10522,Missouri
Physical+Remote,-8,-1,General Merchandise Stores,8389,Missouri
Physical+Remote,-53,-10,Support Activities for Transportation,7575,Missouri
Physical+Remote,-28,-5,Educational Services,5356,Missouri
Physical+Remote,-49,5,Insurance Carriers and Related Activities,4711,Missouri
Remote,6,-14,Administrative and Support Services,1287,Missouri
Remote,-15,1,"Professional, Scientific, and Technical Services",1199,Missouri
Remote,31,11,Insurance Carriers and Related Activities,1059,Missouri
Remote,195,28,Educational Services,469,Missouri
Remote,190,29,Credit Intermediation and Related Activities,270,Missouri
Remote,68,-3,Publishing Industries (except Internet),253,Missouri
Remote,74,-31,Ambulatory Health Care Services,176,Missouri
Remote,8250,52,Food and Beverage Stores,167,Missouri
Remote,124,28,Hospitals,157,Missouri
Remote,-49,73,Telecommunications,111,Missouri
Remote,-32,-9,Administrative and Support Services,385,Montana
Remote,-19,20,Insurance Carriers and Related Activities,284,Montana
Remote,-31,12,"Professional, Scientific, and Technical Services",217,Montana
Remote,574,5,Ambulatory Health Care Services,155,Montana
Remote,107,16,Educational Services,116,Montana
Remote,19,52,Publishing Industries (except Internet),100,Montana
Remote,2533,126,Food and Beverage Stores,79,Montana
Remote,550,4,Hospitals,52,Montana
Remote,344,11,Real Estate,40,Montana
Remote,-42,63,Credit Intermediation and Related Activities,26,Montana
Physical+Remote,-20,-3,Administrative and Support Services,7572,Montana
Physical+Remote,-58,15,Truck Transportation,3350,Montana
Physical+Remote,14,11,Ambulatory Health Care Services,2819,Montana
Physical+Remote,-26,9,"Professional, Scientific, and Technical Services",2817,Montana
Physical+Remote,-24,2,Food Services and Drinking Places,2507,Montana
Physical+Remote,8,8,Hospitals,2331,Montana
Physical+Remote,-24,11,Educational Services,1512,Montana
Physical+Remote,31,30,Publishing Industries (except Internet),1357,Montana
Physical+Remote,-8,-4,Accommodation,1201,Montana
Physical+Remote,49,-4,Motor Vehicle and Parts Dealers,1072,Montana
Remote,-19,-5,Administrative and Support Services,628,Nebraska
Remote,-26,33,"Professional, Scientific, and Technical Services",546,Nebraska
Remote,18,24,Insurance Carriers and Related Activities,449,Nebraska
Remote,57,18,Educational Services,157,Nebraska
Remote,61,23,Publishing Industries (except Internet),127,Nebraska
Remote,2975,186,Food and Beverage Stores,123,Nebraska
Remote,130,-67,Ambulatory Health Care Services,76,Nebraska
Remote,10,15,Credit Intermediation and Related Activities,75,Nebraska
Remote,450,69,Real Estate,66,Nebraska
Remote,10,-22,"Data Processing, Hosting, and Related Services",56,Nebraska
Physical+Remote,-29,6,Administrative and Support Services,11963,Nebraska
Physical+Remote,-18,-1,Truck Transportation,9128,Nebraska
Physical+Remote,-20,10,"Professional, Scientific, and Technical Services",6077,Nebraska
Physical+Remote,-21,-2,Food Services and Drinking Places,4508,Nebraska
Physical+Remote,-6,3,Ambulatory Health Care Services,3574,Nebraska
Physical+Remote,4,5,Educational Services,3428,Nebraska
Physical+Remote,5,12,Hospitals,2853,Nebraska
Physical+Remote,-10,4,General Merchandise Stores,2591,Nebraska
Physical+Remote,-56,14,Insurance Carriers and Related Activities,2150,Nebraska
Physical+Remote,4,24,Nursing and Residential Care Facilities,2045,Nebraska
Physical+Remote,-37,0,Administrative and Support Services,10036,Nevada
Physical+Remote,-34,4,"Professional, Scientific, and Technical Services",6552,Nevada
Physical+Remote,-35,-3,Food Services and Drinking Places,4215,Nevada
Physical+Remote,-14,12,Truck Transportation,3114,Nevada
Physical+Remote,-28,-2,Ambulatory Health Care Services,3053,Nevada
Physical+Remote,-25,-1,Educational Services,2876,Nevada
Physical+Remote,-21,5,Hospitals,2591,Nevada
Physical+Remote,-22,8,Insurance Carriers and Related Activities,1944,Nevada
Physical+Remote,-76,3,Accommodation,1730,Nevada
Physical+Remote,-19,-1,General Merchandise Stores,1597,Nevada
Remote,-7,8,Administrative and Support Services,631,Nevada
Remote,-23,2,"Professional, Scientific, and Technical Services",610,Nevada
Remote,-1,17,Insurance Carriers and Related Activities,609,Nevada
Remote,17,16,Publishing Industries (except Internet),175,Nevada
Remote,62,14,Educational Services,154,Nevada
Remote,11,14,Telecommunications,142,Nevada
Remote,80,1,Ambulatory Health Care Services,110,Nevada
Remote,88,21,Real Estate,92,Nevada
Remote,8,37,Credit Intermediation and Related Activities,85,Nevada
Remote,454,26,Food and Beverage Stores,72,Nevada
Remote,-23,9,"Professional, Scientific, and Technical Services",420,New Hampshire
Remote,-32,0,Administrative and Support Services,397,New Hampshire
Remote,-17,12,Insurance Carriers and Related Activities,381,New Hampshire
Remote,173,12,Educational Services,180,New Hampshire
Remote,34,38,Publishing Industries (except Internet),123,New Hampshire
Remote,85,48,Ambulatory Health Care Services,74,New Hampshire
Remote,509,-60,Hospitals,67,New Hampshire
Remote,315,-25,Computer and Electronic Product Manufacturing,54,New Hampshire
Remote,-65,286,Nonstore Retailers,54,New Hampshire
Remote,238,108,Real Estate,54,New Hampshire
Physical+Remote,-40,4,Administrative and Support Services,11605,New Hampshire
Physical+Remote,-11,6,"Professional, Scientific, and Technical Services",5447,New Hampshire
Physical+Remote,20,6,Ambulatory Health Care Services,5296,New Hampshire
Physical+Remote,-32,-2,Truck Transportation,3648,New Hampshire
Physical+Remote,13,-2,Hospitals,3279,New Hampshire
Physical+Remote,-30,1,Food Services and Drinking Places,2858,New Hampshire
Physical+Remote,-28,-7,General Merchandise Stores,2206,New Hampshire
Physical+Remote,3,11,Food and Beverage Stores,1864,New Hampshire
Physical+Remote,-23,8,Educational Services,1841,New Hampshire
Physical+Remote,-14,13,Insurance Carriers and Related Activities,1501,New Hampshire
Remote,38,14,"Professional, Scientific, and Technical Services",2659,New Jersey
Remote,50,12,Administrative and Support Services,2154,New Jersey
Remote,32,27,Publishing Industries (except Internet),714,New Jersey
Remote,-14,11,Insurance Carriers and Related Activities,620,New Jersey
Remote,194,11,Chemical Manufacturing,347,New Jersey
Remote,111,17,Educational Services,296,New Jersey
Remote,89,38,Telecommunications,232,New Jersey
Remote,137,-42,Credit Intermediation and Related Activities,211,New Jersey
Remote,51,14,Ambulatory Health Care Services,203,New Jersey
Remote,202,-2,Computer and Electronic Product Manufacturing,187,New Jersey
Physical+Remote,-36,5,Administrative and Support Services,42451,New Jersey
Physical+Remote,-26,7,"Professional, Scientific, and Technical Services",32051,New Jersey
Physical+Remote,-35,-2,Truck Transportation,17515,New Jersey
Physical+Remote,-23,4,Ambulatory Health Care Services,16289,New Jersey
Physical+Remote,-32,0,Food Services and Drinking Places,12639,New Jersey
Physical+Remote,346,15,Nonstore Retailers,9929,New Jersey
Physical+Remote,-30,4,Educational Services,8937,New Jersey
Physical+Remote,4,8,Hospitals,8759,New Jersey
Physical+Remote,27,5,Chemical Manufacturing,8629,New Jersey
Physical+Remote,8,18,Publishing Industries (except Internet),8150,New Jersey
Physical+Remote,-31,-7,Administrative and Support Services,12762,New Mexico
Physical+Remote,-23,-5,"Professional, Scientific, and Technical Services",6812,New Mexico
Physical+Remote,12,-4,Ambulatory Health Care Services,4970,New Mexico
Physical+Remote,-27,-6,Food Services and Drinking Places,4156,New Mexico
Physical+Remote,-45,-23,Truck Transportation,3443,New Mexico
Physical+Remote,-21,-6,Hospitals,2987,New Mexico
Physical+Remote,-15,-1,General Merchandise Stores,2333,New Mexico
Physical+Remote,-49,-16,Educational Services,1773,New Mexico
Physical+Remote,20,-1,Nursing and Residential Care Facilities,1575,New Mexico
Physical+Remote,11,-7,Food and Beverage Stores,1512,New Mexico
Remote,-3,-9,Administrative and Support Services,702,New Mexico
Remote,-26,4,"Professional, Scientific, and Technical Services",484,New Mexico
Remote,12,9,Insurance Carriers and Related Activities,385,New Mexico
Remote,31,23,Publishing Industries (except Internet),184,New Mexico
Remote,8900,96,Food and Beverage Stores,180,New Mexico
Remote,43,-17,Ambulatory Health Care Services,137,New Mexico
Remote,606,-6,Hospitals,113,New Mexico
Remote,407,33,Real Estate,76,New Mexico
Remote,-17,-32,Educational Services,69,New Mexico
Remote,-37,7,Telecommunications,62,New Mexico
Physical+Remote,-40,-3,Administrative and Support Services,86003,New York
Physical+Remote,-28,-6,"Professional, Scientific, and Technical Services",64018,New York
Physical+Remote,-6,-1,Ambulatory Health Care Services,32746,New York
Physical+Remote,-29,-2,Truck Transportation,32653,New York
Physical+Remote,-33,-6,Food Services and Drinking Places,22677,New York
Physical+Remote,-20,-5,Educational Services,19958,New York
Physical+Remote,-9,-7,Hospitals,14838,New York
Physical+Remote,-18,-5,General Merchandise Stores,14326,New York
Physical+Remote,-24,-6,Credit Intermediation and Related Activities,13748,New York
Physical+Remote,4,3,Publishing Industries (except Internet),11097,New York
Remote,15,-14,"Professional, Scientific, and Technical Services",4176,New York
Remote,47,-14,Administrative and Support Services,4109,New York
Remote,29,7,Insurance Carriers and Related Activities,2410,New York
Remote,77,-1,Publishing Industries (except Internet),976,New York
Remote,79,7,Educational Services,783,New York
Remote,907,39,Food and Beverage Stores,463,New York
Remote,73,-8,Credit Intermediation and Related Activities,437,New York
Remote,46,-9,Ambulatory Health Care Services,429,New York
Remote,107,10,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",411,New York
Remote,179,-17,Real Estate,346,New York
Remote,14,-16,Administrative and Support Services,2492,North Carolina
Remote,-2,-8,"Professional, Scientific, and Technical Services",2269,North Carolina
Remote,102,9,Insurance Carriers and Related Activities,1697,North Carolina
Remote,58,2,Publishing Industries (except Internet),723,North Carolina
Remote,105,6,Educational Services,629,North Carolina
Remote,31,-5,Ambulatory Health Care Services,309,North Carolina
Remote,36,-17,Computer and Electronic Product Manufacturing,255,North Carolina
Remote,108,5,Chemical Manufacturing,250,North Carolina
Remote,27,-13,Credit Intermediation and Related Activities,245,North Carolina
Remote,-52,1,Telecommunications,150,North Carolina
Physical+Remote,-26,-9,Administrative and Support Services,55524,North Carolina
Physical+Remote,-20,-11,"Professional, Scientific, and Technical Services",37891,North Carolina
Physical+Remote,-22,-3,Truck Transportation,30114,North Carolina
Physical+Remote,-22,-7,Food Services and Drinking Places,25736,North Carolina
Physical+Remote,9,-1,Ambulatory Health Care Services,20146,North Carolina
Physical+Remote,1,-5,Educational Services,14705,North Carolina
Physical+Remote,8,-10,Hospitals,12321,North Carolina
Physical+Remote,-18,-1,General Merchandise Stores,10380,North Carolina
Physical+Remote,-7,-3,Food and Beverage Stores,9826,North Carolina
Physical+Remote,16,-6,Motor Vehicle and Parts Dealers,6994,North Carolina
Remote,25,75,Administrative and Support Services,579,North Dakota
Remote,-14,27,"Professional, Scientific, and Technical Services",424,North Dakota
Remote,2175,7,Ambulatory Health Care Services,273,North Dakota
Remote,-16,19,Insurance Carriers and Related Activities,247,North Dakota
Remote,2850,3,Hospitals,236,North Dakota
Remote,12700,110,Food and Beverage Stores,128,North Dakota
Remote,79,18,Educational Services,109,North Dakota
Remote,122,25,Publishing Industries (except Internet),60,North Dakota
Remote,-5,44,Credit Intermediation and Related Activities,56,North Dakota
Remote,275,10,Real Estate,45,North Dakota
Physical+Remote,-22,9,Administrative and Support Services,6878,North Dakota
Physical+Remote,-45,8,"Professional, Scientific, and Technical Services",2570,North Dakota
Physical+Remote,-36,-27,Truck Transportation,2315,North Dakota
Physical+Remote,49,10,Hospitals,2159,North Dakota
Physical+Remote,26,10,Ambulatory Health Care Services,1997,North Dakota
Physical+Remote,-21,-2,Food Services and Drinking Places,1730,North Dakota
Physical+Remote,-6,4,General Merchandise Stores,1301,North Dakota
Physical+Remote,184,10,National Security and International Affairs,1192,North Dakota
Physical+Remote,-61,17,Insurance Carriers and Related Activities,943,North Dakota
Physical+Remote,-16,-1,Educational Services,910,North Dakota
Physical+Remote,-38,-12,Administrative and Support Services,58313,Ohio
Physical+Remote,-18,-3,Truck Transportation,54252,Ohio
Physical+Remote,-31,-12,"Professional, Scientific, and Technical Services",31375,Ohio
Physical+Remote,-30,-4,Food Services and Drinking Places,28061,Ohio
Physical+Remote,-5,-2,Ambulatory Health Care Services,21733,Ohio
Physical+Remote,29,1,Hospitals,17012,Ohio
Physical+Remote,-26,-4,General Merchandise Stores,12393,Ohio
Physical+Remote,-19,-6,Educational Services,8968,Ohio
Physical+Remote,-24,-10,Food and Beverage Stores,8739,Ohio
Physical+Remote,26,0,Motor Vehicle and Parts Dealers,7904,Ohio
Remote,-10,1,"Professional, Scientific, and Technical Services",2254,Ohio
Remote,16,-16,Administrative and Support Services,2174,Ohio
Remote,38,-5,Insurance Carriers and Related Activities,1973,Ohio
Remote,385,-10,Ambulatory Health Care Services,951,Ohio
Remote,107,28,Educational Services,618,Ohio
Remote,39,5,Publishing Industries (except Internet),550,Ohio
Remote,3136,97,Food and Beverage Stores,453,Ohio
Remote,32,-21,Credit Intermediation and Related Activities,182,Ohio
Remote,288,6,Hospitals,155,Ohio
Remote,87,-20,Computer and Electronic Product Manufacturing,153,Ohio
Physical+Remote,-33,4,Administrative and Support Services,3751,Wyoming
Physical+Remote,-38,-19,Truck Transportation,1973,Wyoming
Physical+Remote,-42,5,"Professional, Scientific, and Technical Services",1621,Wyoming
Physical+Remote,-30,-6,Food Services and Drinking Places,1572,Wyoming
Physical+Remote,0,3,Ambulatory Health Care Services,1257,Wyoming
Physical+Remote,11,9,Hospitals,837,Wyoming
Physical+Remote,-40,-3,Educational Services,772,Wyoming
Physical+Remote,-8,8,General Merchandise Stores,695,Wyoming
Physical+Remote,-34,17,"Executive, Legislative, and Other General Government Support",574,Wyoming
Physical+Remote,-25,-2,Food and Beverage Stores,526,Wyoming
Remote,-22,7,Administrative and Support Services,348,Wyoming
Remote,-27,29,Insurance Carriers and Related Activities,208,Wyoming
Remote,-61,41,"Professional, Scientific, and Technical Services",202,Wyoming
Remote,123,12,Educational Services,105,Wyoming
Remote,0,228,Food and Beverage Stores,59,Wyoming
Remote,427,29,Ambulatory Health Care Services,58,Wyoming
Remote,280,36,Real Estate,38,Wyoming
Remote,-47,-6,"Data Processing, Hosting, and Related Services",16,Wyoming
Remote,-24,-11,Publishing Industries (except Internet),16,Wyoming
Remote,433,300,"Securities, Commodity Contracts, and Other Financial Investments and Related Activities",16,Wyoming
Physical+Remote,-43,1,Administrative and Support Services,30359,Wisconsin
Physical+Remote,-11,-5,Truck Transportation,21673,Wisconsin
Physical+Remote,-34,10,"Professional, Scientific, and Technical Services",14576,Wisconsin
Physical+Remote,-21,3,Ambulatory Health Care Services,12144,Wisconsin
Physical+Remote,-35,-3,Food Services and Drinking Places,11562,Wisconsin
Physical+Remote,-2,12,Hospitals,7031,Wisconsin
Physical+Remote,31,5,Food and Beverage Stores,6906,Wisconsin
Physical+Remote,-19,0,General Merchandise Stores,6588,Wisconsin
Physical+Remote,-56,1,Insurance Carriers and Related Activities,4269,Wisconsin
Physical+Remote,16,5,Health and Personal Care Stores,4268,Wisconsin
Remote,8,14,Administrative and Support Services,1343,Wisconsin
Remote,-7,19,"Professional, Scientific, and Technical Services",1134,Wisconsin
Remote,7,9,Insurance Carriers and Related Activities,963,Wisconsin
Remote,99,25,Publishing Industries (except Internet),338,Wisconsin
Remote,2933,96,Food and Beverage Stores,273,Wisconsin
Remote,70,22,Educational Services,243,Wisconsin
Remote,42,11,Ambulatory Health Care Services,165,Wisconsin
Remote,118,32,Real Estate,120,Wisconsin
Remote,11,20,Credit Intermediation and Related Activities,91,Wisconsin
Remote,78,21,Computer and Electronic Product Manufacturing,80,Wisconsin
Physical+Remote,-11,-2,Truck Transportation,23537,West Virginia
Physical+Remote,-42,5,Administrative and Support Services,9314,West Virginia
Physical+Remote,21,12,Ambulatory Health Care Services,6100,West Virginia
Physical+Remote,-38,-3,Food Services and Drinking Places,4437,West Virginia
Physical+Remote,-36,-6,"Professional, Scientific, and Technical Services",4433,West Virginia
Physical+Remote,-21,-2,General Merchandise Stores,3502,West Virginia
Physical+Remote,-43,69,Support Activities for Transportation,2407,West Virginia
Physical+Remote,12,3,Hospitals,2221,West Virginia
Physical+Remote,-33,3,Educational Services,1636,West Virginia
Physical+Remote,31,4,Food and Beverage Stores,1492,West Virginia
Remote,-19,-13,Administrative and Support Services,572,West Virginia
Remote,-8,17,Insurance Carriers and Related Activities,474,West Virginia
Remote,715,4,Ambulatory Health Care Services,318,West Virginia
Remote,-52,7,"Professional, Scientific, and Technical Services",294,West Virginia
Remote,92,12,Educational Services,232,West Virginia
Remote,11300,138,Food and Beverage Stores,114,West Virginia
Remote,133,87,Publishing Industries (except Internet),56,West Virginia
Remote,563,66,Real Estate,53,West Virginia
Remote,32,38,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",33,West Virginia
Remote,-73,10,Telecommunications,23,West Virginia
Remote,26,10,"Professional, Scientific, and Technical Services",2254,Washington
Remote,54,6,Administrative and Support Services,1974,Washington
Remote,70,7,Insurance Carriers and Related Activities,1272,Washington
Remote,93,20,Publishing Industries (except Internet),571,Washington
Remote,118,20,Educational Services,545,Washington
Remote,52,23,Nonstore Retailers,465,Washington
Remote,74,7,Ambulatory Health Care Services,371,Washington
Remote,-3,17,Telecommunications,222,Washington
Remote,210,24,Real Estate,220,Washington
Remote,157,32,"Executive, Legislative, and Other General Government Support",203,Washington
Physical+Remote,-15,3,Administrative and Support Services,49704,Washington
Physical+Remote,5,6,"Professional, Scientific, and Technical Services",36679,Washington
Physical+Remote,134,4,Nonstore Retailers,31088,Washington
Physical+Remote,-4,4,Ambulatory Health Care Services,19359,Washington
Physical+Remote,-24,-3,Food Services and Drinking Places,12769,Washington
Physical+Remote,-6,9,Publishing Industries (except Internet),10600,Washington
Physical+Remote,14,13,Hospitals,9929,Washington
Physical+Remote,-22,0,Educational Services,9644,Washington
Physical+Remote,-27,-8,Truck Transportation,8994,Washington
Physical+Remote,9,-5,Food and Beverage Stores,7123,Washington
Physical+Remote,-9,-2,"Professional, Scientific, and Technical Services",81415,Virginia
Physical+Remote,-24,0,Administrative and Support Services,54677,Virginia
Physical+Remote,-25,1,Truck Transportation,31917,Virginia
Physical+Remote,-24,-7,Food Services and Drinking Places,21857,Virginia
Physical+Remote,0,3,Ambulatory Health Care Services,14965,Virginia
Physical+Remote,-25,7,Hospitals,10433,Virginia
Physical+Remote,-22,-6,Educational Services,10222,Virginia
Physical+Remote,-24,-2,General Merchandise Stores,9100,Virginia
Physical+Remote,16,14,Publishing Industries (except Internet),8449,Virginia
Physical+Remote,29,2,Food and Beverage Stores,8257,Virginia
Remote,45,-8,"Professional, Scientific, and Technical Services",4385,Virginia
Remote,11,1,Administrative and Support Services,2284,Virginia
Remote,18,10,Insurance Carriers and Related Activities,1811,Virginia
Remote,77,13,Educational Services,681,Virginia
Remote,44,34,Publishing Industries (except Internet),670,Virginia
Remote,24,-6,Computer and Electronic Product Manufacturing,287,Virginia
Remote,134,0,Ambulatory Health Care Services,276,Virginia
Remote,3600,96,Food and Beverage Stores,259,Virginia
Remote,93,17,Credit Intermediation and Related Activities,162,Virginia
Remote,-1,23,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",141,Virginia
Physical+Remote,-41,-1,Administrative and Support Services,6125,Vermont
Physical+Remote,19,3,Ambulatory Health Care Services,2903,Vermont
Physical+Remote,-7,6,"Professional, Scientific, and Technical Services",2812,Vermont
Physical+Remote,-29,-8,Truck Transportation,2769,Vermont
Physical+Remote,-28,16,Educational Services,1670,Vermont
Physical+Remote,-13,9,Food and Beverage Stores,1244,Vermont
Physical+Remote,-23,-1,Food Services and Drinking Places,1210,Vermont
Physical+Remote,2,27,Publishing Industries (except Internet),1118,Vermont
Physical+Remote,170,3,National Security and International Affairs,914,Vermont
Physical+Remote,-30,-20,General Merchandise Stores,883,Vermont
Remote,-35,23,"Professional, Scientific, and Technical Services",291,Vermont
Remote,-38,24,Administrative and Support Services,278,Vermont
Remote,-48,21,Insurance Carriers and Related Activities,198,Vermont
Remote,112,13,Educational Services,144,Vermont
Remote,30,24,Publishing Industries (except Internet),103,Vermont
Remote,377,130,Real Estate,62,Vermont
Remote,50,7,Ambulatory Health Care Services,48,Vermont
Remote,583,8,Hospitals,41,Vermont
Remote,933,-6,Computer and Electronic Product Manufacturing,31,Vermont
Remote,-39,-28,"Data Processing, Hosting, and Related Services",28,Vermont
Physical+Remote,-41,-2,Administrative and Support Services,11700,Utah
Physical+Remote,-41,8,"Professional, Scientific, and Technical Services",7516,Utah
Physical+Remote,-26,-2,Food Services and Drinking Places,5976,Utah
Physical+Remote,-21,-1,Educational Services,5860,Utah
Physical+Remote,-14,11,Truck Transportation,5760,Utah
Physical+Remote,-3,25,Publishing Industries (except Internet),4420,Utah
Physical+Remote,-25,7,Ambulatory Health Care Services,3264,Utah
Physical+Remote,31,6,Computer and Electronic Product Manufacturing,2946,Utah
Physical+Remote,2,-1,General Merchandise Stores,2605,Utah
Physical+Remote,-15,21,Hospitals,2603,Utah
Remote,-57,20,"Professional, Scientific, and Technical Services",731,Utah
Remote,47,14,Insurance Carriers and Related Activities,620,Utah
Remote,-7,15,Administrative and Support Services,600,Utah
Remote,93,28,Publishing Industries (except Internet),509,Utah
Remote,130,9,Educational Services,325,Utah
Remote,-4,22,Telecommunications,110,Utah
Remote,180,-2,Computer and Electronic Product Manufacturing,98,Utah
Remote,400,21,Hospitals,85,Utah
Remote,-3,4,Credit Intermediation and Related Activities,84,Utah
Remote,8,7,Ambulatory Health Care Services,78,Utah
Physical+Remote,-30,-7,Administrative and Support Services,113728,Texas
Physical+Remote,-23,-5,"Professional, Scientific, and Technical Services",88882,Texas
Physical+Remote,-28,-5,Food Services and Drinking Places,57840,Texas
Physical+Remote,-30,-5,Truck Transportation,49562,Texas
Physical+Remote,2,4,Ambulatory Health Care Services,47258,Texas
Physical+Remote,-14,0,General Merchandise Stores,27455,Texas
Physical+Remote,-26,8,Hospitals,26660,Texas
Physical+Remote,-31,1,Insurance Carriers and Related Activities,19680,Texas
Physical+Remote,-31,-8,Educational Services,19614,Texas
Physical+Remote,-4,-3,Food and Beverage Stores,15824,Texas
Remote,33,3,"Professional, Scientific, and Technical Services",6636,Texas
Remote,29,-9,Administrative and Support Services,5348,Texas
Remote,96,10,Insurance Carriers and Related Activities,4784,Texas
Remote,81,38,Publishing Industries (except Internet),1662,Texas
Remote,2683,66,Food and Beverage Stores,1002,Texas
Remote,57,7,Educational Services,963,Texas
Remote,31,-2,Computer and Electronic Product Manufacturing,675,Texas
Remote,44,-8,Ambulatory Health Care Services,670,Texas
Remote,74,-10,Credit Intermediation and Related Activities,627,Texas
Remote,-52,-2,Telecommunications,399,Texas
Physical+Remote,-33,6,Administrative and Support Services,31144,Tennessee
Physical+Remote,-21,0,Truck Transportation,26993,Tennessee
Physical+Remote,-27,-1,Food Services and Drinking Places,17955,Tennessee
Physical+Remote,-24,9,"Professional, Scientific, and Technical Services",17242,Tennessee
Physical+Remote,-9,7,Ambulatory Health Care Services,14718,Tennessee
Physical+Remote,-2,12,Hospitals,9029,Tennessee
Physical+Remote,-17,1,General Merchandise Stores,7855,Tennessee
Physical+Remote,-25,2,Educational Services,5501,Tennessee
Physical+Remote,-21,26,Insurance Carriers and Related Activities,4892,Tennessee
Physical+Remote,16,6,Motor Vehicle and Parts Dealers,4890,Tennessee
Remote,3,6,Administrative and Support Services,1607,Tennessee
Remote,40,14,Insurance Carriers and Related Activities,1302,Tennessee
Remote,-11,22,"Professional, Scientific, and Technical Services",1266,Tennessee
Remote,27,11,Educational Services,386,Tennessee
Remote,43,32,Publishing Industries (except Internet),271,Tennessee
Remote,65,10,Ambulatory Health Care Services,235,Tennessee
Remote,5775,87,Food and Beverage Stores,235,Tennessee
Remote,62,30,Hospitals,160,Tennessee
Remote,-37,62,Telecommunications,133,Tennessee
Remote,107,19,Real Estate,118,Tennessee
Physical+Remote,-25,6,Administrative and Support Services,6483,South Dakota
Physical+Remote,-9,-10,Truck Transportation,2910,South Dakota
Physical+Remote,-36,8,"Professional, Scientific, and Technical Services",2742,South Dakota
Physical+Remote,30,11,Hospitals,2679,South Dakota
Physical+Remote,-24,1,Food Services and Drinking Places,1815,South Dakota
Physical+Remote,44,8,Ambulatory Health Care Services,1511,South Dakota
Physical+Remote,-3,9,General Merchandise Stores,1511,South Dakota
Physical+Remote,130,14,National Security and International Affairs,1372,South Dakota
Physical+Remote,-55,16,Insurance Carriers and Related Activities,1098,South Dakota
Physical+Remote,0,1,Educational Services,903,South Dakota
Remote,21,45,Administrative and Support Services,679,South Dakota
Remote,-43,16,"Professional, Scientific, and Technical Services",316,South Dakota
Remote,-8,17,Insurance Carriers and Related Activities,256,South Dakota
Remote,2600,4,Ambulatory Health Care Services,216,South Dakota
Remote,1644,3,Hospitals,157,South Dakota
Remote,0,86,Food and Beverage Stores,123,South Dakota
Remote,24,16,Educational Services,115,South Dakota
Remote,560,78,Real Estate,66,South Dakota
Remote,45,83,Credit Intermediation and Related Activities,64,South Dakota
Remote,189,24,Publishing Industries (except Internet),52,South Dakota
Physical+Remote,-32,-2,Administrative and Support Services,24392,South Carolina
Physical+Remote,-24,-1,Truck Transportation,16232,South Carolina
