Category,YoY Change(Percent),MoM Change(Percent),Occupation Name,Job Postings,State
Physical+Remote,-22,-2,"Software Developers, Applications",4750,Michigan
Physical+Remote,-17,-3,First-Line Supervisors of Food Preparation and Serving Workers,4749,Michigan
Remote,31,-5,Insurance Sales Agents,745,Michigan
Remote,128,19,"Software Developers, Applications",635,Michigan
Remote,87,-11,Customer Service Representatives,609,Michigan
Remote,4560,30,Childcare Workers,466,Michigan
Remote,164,22,"Computer Occupations, All Other",322,Michigan
Remote,8000,46,Billing and Posting Clerks,243,Michigan
Remote,18,24,Accountants and Auditors,242,Michigan
Remote,10000,45,Medical Assistants,202,Michigan
Remote,48,-2,Computer User Support Specialists,196,Michigan
Remote,650,-9,Loan Officers,180,Michigan
Remote,148,22,"Software Developers, Applications",698,Minnesota
Remote,34,-8,Insurance Sales Agents,623,Minnesota
Remote,88,-29,Customer Service Representatives,461,Minnesota
Remote,86,28,"Computer Occupations, All Other",421,Minnesota
Remote,53,34,Marketing Managers,308,Minnesota
Remote,1606,27,Childcare Workers,307,Minnesota
Remote,51,26,Computer User Support Specialists,268,Minnesota
Remote,2,2,Computer Systems Analysts,214,Minnesota
Remote,-1,-15,Sales Managers,200,Minnesota
Remote,2,42,Management Analysts,196,Minnesota
Physical+Remote,-13,1,Heavy and Tractor-Trailer Truck Drivers,20856,Minnesota
Physical+Remote,-49,2,Registered Nurses,8660,Minnesota
Physical+Remote,-13,5,First-Line Supervisors of Retail Sales Workers,7162,Minnesota
Physical+Remote,-20,12,Retail Salespersons,6487,Minnesota
Physical+Remote,-8,16,"Software Developers, Applications",5564,Minnesota
Physical+Remote,-16,8,Customer Service Representatives,5539,Minnesota
Physical+Remote,-20,10,Light Truck or Delivery Services Drivers,4469,Minnesota
Physical+Remote,-14,13,Stock Clerks and Order Fillers,3867,Minnesota
Physical+Remote,-17,14,"Computer Occupations, All Other",3559,Minnesota
Physical+Remote,-6,8,Personal Care Aides,3536,Minnesota
Remote,17,4,nsurance Sales Agents,473,Mississippi
Remote,193,-6,Customer Service Representatives,404,Mississippi
Remote,315,66,"Software Developers, Applications",199,Mississippi
Remote,10900,53,Billing and Posting Clerks,110,Mississippi
Remote,117,46,Accountants and Auditors,102,Mississippi
Remote,-75,-12,Postsecondary Teachers,94,Mississippi
Remote,252,-37,Telemarketers,74,Mississippi
Remote,100,52,Network and Computer Systems Administrators,64,Mississippi
Remote,200,43,"Computer Occupations, All Other",60,Mississippi
Remote,16,-9,Computer User Support Specialists,50,Mississippi
Physical+Remote,-18,-5,Heavy and Tractor-Trailer Truck Drivers,20646,Mississippi
Physical+Remote,-36,9,Registered Nurses,5027,Mississippi
Physical+Remote,-8,5,First-Line Supervisors of Retail Sales Workers,4498,Mississippi
Physical+Remote,6,5,Retail Salespersons,3851,Mississippi
Physical+Remote,-3,4,Customer Service Representatives,2483,Mississippi
Physical+Remote,-19,14,Light Truck or Delivery Services Drivers,2469,Mississippi
Physical+Remote,-8,2,First-Line Supervisors of Food Preparation and Serving Workers,1933,Mississippi
Physical+Remote,0,5,"Combined Food Preparation and Serving Workers, Including Fast Food",1893,Mississippi
Physical+Remote,17,68,Driver/Sales Workers,1658,Mississippi
Physical+Remote,36,7,Stock Clerks and Order Fillers,1622,Mississippi
Physical+Remote,-12,-5,Heavy and Tractor-Trailer Truck Drivers,46173,Missouri
Physical+Remote,-34,13,Registered Nurses,14526,Missouri
Physical+Remote,-13,-1,First-Line Supervisors of Retail Sales Workers,8415,Missouri
Physical+Remote,-8,3,Retail Salespersons,7530,Missouri
Physical+Remote,-20,22,Light Truck or Delivery Services Drivers,5310,Missouri
Physical+Remote,-10,0,Customer Service Representatives,5044,Missouri
Physical+Remote,80,115,Driver/Sales Workers,4845,Missouri
Physical+Remote,39,11,Stock Clerks and Order Fillers,4172,Missouri
Physical+Remote,-16,4,"Software Developers, Applications",4145,Missouri
Physical+Remote,-27,4,First-Line Supervisors of Food Preparation and Serving Workers,3279,Missouri
Remote,310,-5,Customer Service Representatives,1000,Missouri
Remote,57,1,Insurance Sales Agents,761,Missouri
Remote,120,13,"Software Developers, Applications",556,Missouri
Remote,111,35,"Computer Occupations, All Other",278,Missouri
Remote,62,35,Computer User Support Specialists,251,Missouri
Remote,175,29,Accountants and Auditors,220,Missouri
Remote,296,-31,Telemarketers,178,Missouri
Remote,3340,65,Billing and Posting Clerks,172,Missouri
Remote,2920,-7,Childcare Workers,151,Missouri
Remote,83,42,Marketing Managers,150,Missouri
Remote,-27,8,nsurance Sales Agents,257,Montana
Remote,1555,11,Telemarketers,182,Montana
Remote,125,-32,Customer Service Representatives,126,Montana
Remote,65,26,"Software Developers, Applications",112,Montana
Remote,256,45,"Computer Occupations, All Other",64,Montana
Remote,157,23,Computer User Support Specialists,54,Montana
Remote,-84,0,Postsecondary Teachers,39,Montana
Remote,185,42,Network and Computer Systems Administrators,37,Montana
Remote,24,57,Accountants and Auditors,36,Montana
Remote,64,57,Marketing Managers,36,Montana
Physical+Remote,0,5,Registered Nurses,4882,Montana
Physical+Remote,-46,19,Heavy and Tractor-Trailer Truck Drivers,4450,Montana
Physical+Remote,-8,3,Retail Salespersons,1276,Montana
Physical+Remote,-12,2,First-Line Supervisors of Retail Sales Workers,1189,Montana
Physical+Remote,44,9,Light Truck or Delivery Services Drivers,1163,Montana
Physical+Remote,11,0,Customer Service Representatives,1011,Montana
Physical+Remote,-20,1,"Maintenance and Repair Workers, General",845,Montana
Physical+Remote,-3,14,Stock Clerks and Order Fillers,653,Montana
Physical+Remote,-9,-1,Cashiers,627,Montana
Physical+Remote,-12,-2,First-Line Supervisors of Food Preparation and Serving Workers,615,Montana
Physical+Remote,-31,-10,Heavy and Tractor-Trailer Truck Drivers,10048,Nebraska
Physical+Remote,-29,19,Registered Nurses,5096,Nebraska
Physical+Remote,-11,3,First-Line Supervisors of Retail Sales Workers,2529,Nebraska
Physical+Remote,-5,7,Retail Salespersons,2304,Nebraska
Physical+Remote,9,21,Light Truck or Delivery Services Drivers,2111,Nebraska
Physical+Remote,-1,4,Customer Service Representatives,2108,Nebraska
Physical+Remote,-20,4,"Maintenance and Repair Workers, General",1434,Nebraska
Physical+Remote,3,23,"Software Developers, Applications",1412,Nebraska
Physical+Remote,32,13,Stock Clerks and Order Fillers,1344,Nebraska
Physical+Remote,-15,0,First-Line Supervisors of Food Preparation and Serving Workers,1209,Nebraska
Remote,172,-11,Customer Service Representatives,332,Nebraska
Remote,1,10,Insurance Sales Agents,323,Nebraska
Remote,212,62,"Software Developers, Applications",243,Nebraska
Remote,567,-52,Telemarketers,120,Nebraska
Remote,232,35,"Computer Occupations, All Other",113,Nebraska
Remote,54,13,Computer User Support Specialists,88,Nebraska
Remote,172,32,Network and Computer Systems Administrators,79,Nebraska
Remote,5,23,Sales Managers,79,Nebraska
Remote,64,25,Accountants and Auditors,74,Nebraska
Remote,-54,51,"Sales Representatives, Services, All Other",65,Nebraska
Physical+Remote,4,24,Heavy and Tractor-Trailer Truck Drivers,4600,Nevada
Physical+Remote,-11,2,Registered Nurses,4563,Nevada
Physical+Remote,-13,6,Customer Service Representatives,2345,Nevada
Physical+Remote,-27,0,Retail Salespersons,2187,Nevada
Physical+Remote,-27,-3,First-Line Supervisors of Retail Sales Workers,1989,Nevada
Physical+Remote,4,10,Stock Clerks and Order Fillers,1744,Nevada
Physical+Remote,7,23,Light Truck or Delivery Services Drivers,1192,Nevada
Physical+Remote,-39,1,First-Line Supervisors of Office and Administrative Support Workers,1138,Nevada
Physical+Remote,-30,2,"Maintenance and Repair Workers, General",1094,Nevada
Physical+Remote,-21,9,"Software Developers, Applications",1059,Nevada
Remote,240,22,Customer Service Representatives,548,Nevada
Remote,3,11,Insurance Sales Agents,384,Nevada
Remote,88,7,"Software Developers, Applications",207,Nevada
Remote,122,7,Computer User Support Specialists,144,Nevada
Remote,777,7,Loan Officers,114,Nevada
Remote,47,1,Registered Nurses,107,Nevada
Remote,19,22,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",107,Nevada
Remote,136,22,"Computer Occupations, All Other",106,Nevada
Remote,8,37,Accountants and Auditors,104,Nevada
Remote,98,-14,Telemarketers,101,Nevada
Remote,-28,14,Insurance Sales Agents,233,New Hampshire
Remote,126,-18,Customer Service Representatives,203,New Hampshire
Remote,41,-16,"Software Developers, Applications",107,New Hampshire
Remote,1257,32,Childcare Workers,95,New Hampshire
Remote,193,11,"Computer Occupations, All Other",79,New Hampshire
Remote,9,-26,Sales Managers,63,New Hampshire
Remote,5900,46,Loan Officers,60,New Hampshire
Remote,81,-19,Registered Nurses,58,New Hampshire
Remote,0,1040,Pharmacy Technicians,57,New Hampshire
Remote,93,0,Computer User Support Specialists,54,New Hampshire
Physical+Remote,-32,8,egistered Nurses,6334,New Hampshire
Physical+Remote,-29,-10,Heavy and Tractor-Trailer Truck Drivers,3888,New Hampshire
Physical+Remote,-14,8,Retail Salespersons,2849,New Hampshire
Physical+Remote,-20,2,First-Line Supervisors of Retail Sales Workers,2650,New Hampshire
Physical+Remote,-10,-2,Customer Service Representatives,1726,New Hampshire
Physical+Remote,38,22,Stock Clerks and Order Fillers,1593,New Hampshire
Physical+Remote,-27,3,Light Truck or Delivery Services Drivers,1181,New Hampshire
Physical+Remote,-17,8,"Software Developers, Applications",1149,New Hampshire
Physical+Remote,31,-2,Licensed Practical and Licensed Vocational Nurses,1064,New Hampshire
Remote,109,13,Childcare Workers,1062,New Jersey
Remote,2805,40,Childcare Workers,610,New Jersey
Remote,172,8,"Computer Occupations, All Other",539,New Jersey
Remote,86,-4,Customer Service Representatives,501,New Jersey
Remote,44,12,Computer Systems Analysts,345,New Jersey
Remote,-23,14,Insurance Sales Agents,312,New Jersey
Remote,124,38,Marketing Managers,291,New Jersey
Remote,60,28,Network and Computer Systems Administrators,278,New Jersey
Remote,92,42,Computer User Support Specialists,269,New Jersey
Remote,1294,10,Loan Officers,251,New Jersey
Physical+Remote,-34,-9,Heavy and Tractor-Trailer Truck Drivers,20356,New Jersey
Physical+Remote,-40,13,Registered Nurses,12791,New Jersey
Physical+Remote,127,9,Stock Clerks and Order Fillers,9767,New Jersey
Physical+Remote,-9,10,"Software Developers, Applications",9567,New Jersey
Physical+Remote,-22,5,Retail Salespersons,8405,New Jersey
Physical+Remote,-26,0,First-Line Supervisors of Retail Sales Workers,7485,New Jersey
Physical+Remote,2,30,Light Truck or Delivery Services Drivers,6824,New Jersey
Physical+Remote,-12,8,"Computer Occupations, All Other",6231,New Jersey
Physical+Remote,187,5,"Laborers and Freight, Stock, and Material Movers, Hand",5803,New Jersey
Physical+Remote,87,22,Childcare Workers,5314,New Jersey
Physical+Remote,-17,-2,Registered Nurses,8293,New Mexico
Physical+Remote,-38,-22,Heavy and Tractor-Trailer Truck Drivers,4305,New Mexico
Physical+Remote,-15,-3,First-Line Supervisors of Retail Sales Workers,2485,New Mexico
Physical+Remote,-12,-5,Retail Salespersons,1896,New Mexico
Physical+Remote,-17,-12,Customer Service Representatives,1606,New Mexico
Physical+Remote,45,-11,Speech-Language Pathologists,1439,New Mexico
Physical+Remote,-17,4,Light Truck or Delivery Services Drivers,1267,New Mexico
Physical+Remote,21,-2,"Physicians and Surgeons, All Other",1056,New Mexico
Physical+Remote,-16,-9,General and Operations Managers,806,New Mexico
Physical+Remote,77,-8,Licensed Practical and Licensed Vocational Nurses,786,New Mexico
Remote,-12,-12,Insurance Sales Agents,325,New Mexico
Remote,358,-18,Customer Service Representatives,316,New Mexico
Remote,138,36,"Software Developers, Applications",200,New Mexico
Remote,417,-21,Telemarketers,155,New Mexico
Remote,105,-5,Computer User Support Specialists,121,New Mexico
Remote,163,39,"Computer Occupations, All Other",92,New Mexico
Remote,-14,23,Speech-Language Pathologists,80,New Mexico
Remote,-28,-1,Accountants and Auditors,71,New Mexico
Remote,38,-6,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",65,New Mexico
Remote,222,35,Marketing Managers,58,New Mexico
Physical+Remote,-30,-13,Heavy and Tractor-Trailer Truck Drivers,33830,New York
Physical+Remote,-50,0,Registered Nurses,25002,New York
Physical+Remote,-15,-7,"Software Developers, Applications",18815,New York
Physical+Remote,-19,-1,First-Line Supervisors of Retail Sales Workers,15099,New York
Physical+Remote,-17,2,Retail Salespersons,14997,New York
Physical+Remote,-28,-7,Marketing Managers,11592,New York
Physical+Remote,-25,-6,Customer Service Representatives,9261,New York
Physical+Remote,-4,7,Light Truck or Delivery Services Drivers,9020,New York
Physical+Remote,-19,-7,"Computer Occupations, All Other",9005,New York
Physical+Remote,28,11,Stock Clerks and Order Fillers,8315,New York
Remote,90,-15,"Software Developers, Applications",1969,New York
Remote,142,0,Insurance Sales Agents,1638,New York
Remote,133,-38,Customer Service Representatives,879,New York
Remote,87,-6,"Computer Occupations, All Other",808,New York
Remote,61,-13,Marketing Managers,725,New York
Remote,2838,37,Childcare Workers,617,New York
Remote,-2,-13,Sales Managers,562,New York
Remote,122,-13,Web Developers,526,New York
Remote,43,-3,Computer User Support Specialists,475,New York
Remote,36,-11,Network and Computer Systems Administrators,458,New York
Remote,88,2,Insurance Sales Agents,1191,North Carolina
Remote,155,-16,Customer Service Representatives,1072,North Carolina
Remote,65,-1,"Software Developers, Applications",802,North Carolina
Remote,80,4,"Computer Occupations, All Other",516,North Carolina
Remote,2295,-3,Childcare Workers,455,North Carolina
Remote,59,-10,Computer User Support Specialists,370,North Carolina
Remote,68,22,Accountants and Auditors,353,North Carolina
Remote,-6,-28,Sales Managers,282,North Carolina
Remote,43,-7,Network and Computer Systems Administrators,274,North Carolina
Remote,21,-10,Computer Systems Analysts,254,North Carolina
Physical+Remote,-17,-10,Heavy and Tractor-Trailer Truck Drivers,35476,North Carolina
Physical+Remote,-32,2,Registered Nurses,19495,North Carolina
Physical+Remote,-15,-4,First-Line Supervisors of Retail Sales Workers,11875,North Carolina
Physical+Remote,-12,-2,Retail Salespersons,10999,North Carolina
Physical+Remote,-15,-16,"Software Developers, Applications",8636,North Carolina
Physical+Remote,-11,-8,Customer Service Representatives,7620,North Carolina
Physical+Remote,9,11,Light Truck or Delivery Services Drivers,7113,North Carolina
Physical+Remote,17,8,Stock Clerks and Order Fillers,6704,North Carolina
Physical+Remote,-17,-3,First-Line Supervisors of Food Preparation and Serving Workers,6369,North Carolina
Physical+Remote,-21,-15,"Computer Occupations, All Other",5596,North Carolina
Remote,7071,90,Telemarketers,502,North Dakota
Remote,259,43,Customer Service Representatives,298,North Dakota
Remote,-35,9,Insurance Sales Agents,217,North Dakota
Remote,368,69,"Software Developers, Applications",206,North Dakota
Remote,335,50,"Computer Occupations, All Other",87,North Dakota
Remote,204,21,Computer User Support Specialists,82,North Dakota
Remote,710,5,Registered Nurses,81,North Dakota
Remote,150,49,Marketing Managers,55,North Dakota
Remote,65,0,Sales Managers,51,North Dakota
Remote,1075,34,Loan Officers,47,North Dakota
Physical+Remote,-32,-28,Heavy and Tractor-Trailer Truck Drivers,3087,North Dakota
Physical+Remote,-18,16,Registered Nurses,2924,North Dakota
Physical+Remote,-8,0,First-Line Supervisors of Retail Sales Workers,1279,North Dakota
Physical+Remote,-9,6,Retail Salespersons,1120,North Dakota
Physical+Remote,37,7,Light Truck or Delivery Services Drivers,1117,North Dakota
Physical+Remote,22,17,Customer Service Representatives,1071,North Dakota
Physical+Remote,24,18,"Physicians and Surgeons, All Other",808,North Dakota
Physical+Remote,-6,14,Stock Clerks and Order Fillers,576,North Dakota
Physical+Remote,-45,6,"Maintenance and Repair Workers, General",574,North Dakota
Physical+Remote,2722,87,Telemarketers,508,North Dakota
Physical+Remote,-28,-11,Heavy and Tractor-Trailer Truck Drivers,61878,Ohio
Physical+Remote,-45,-3,Registered Nurses,18745,Ohio
Physical+Remote,-21,-4,First-Line Supervisors of Retail Sales Workers,14017,Ohio
Physical+Remote,-16,-3,Retail Salespersons,12789,Ohio
Physical+Remote,30,1,Stock Clerks and Order Fillers,8967,Ohio
Physical+Remote,-28,-13,Customer Service Representatives,8887,Ohio
Physical+Remote,-19,3,Light Truck or Delivery Services Drivers,8338,Ohio
Physical+Remote,-17,-9,"Software Developers, Applications",6586,Ohio
Physical+Remote,-26,-2,First-Line Supervisors of Food Preparation and Serving Workers,5744,Ohio
Physical+Remote,22,81,Driver/Sales Workers,5440,Ohio
Remote,12,-13,Insurance Sales Agents,1346,Ohio
Remote,177,-21,Customer Service Representatives,1027,Ohio
Remote,191,18,"Software Developers, Applications",908,Ohio
Remote,312,1,Demonstrators and Product Promoters,774,Ohio
Remote,126,16,"Computer Occupations, All Other",427,Ohio
Remote,2150,-2,Childcare Workers,360,Ohio
Remote,7700,50,Billing and Posting Clerks,312,Ohio
Remote,33,-19,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",285,Ohio
Remote,11,-26,Computer User Support Specialists,280,Ohio
Remote,192,-7,Web Developers,257,Ohio
Physical+Remote,-37,-26,Heavy and Tractor-Trailer Truck Drivers,2110,Wyoming
Physical+Remote,-24,13,Registered Nurses,2030,Wyoming
Physical+Remote,-10,2,First-Line Supervisors of Retail Sales Workers,663,Wyoming
Physical+Remote,6,9,Light Truck or Delivery Services Drivers,655,Wyoming
Physical+Remote,-13,-4,Retail Salespersons,650,Wyoming
Physical+Remote,-13,-1,Customer Service Representatives,623,Wyoming
Physical+Remote,-19,-6,First-Line Supervisors of Food Preparation and Serving Workers,410,Wyoming
Physical+Remote,65,32,Speech-Language Pathologists,362,Wyoming
Physical+Remote,-22,-15,Cashiers,346,Wyoming
Physical+Remote,-60,1,"Maintenance and Repair Workers, General",311,Wyoming
Remote,-51,14,Insurance Sales Agents,174,Wyoming
Remote,109,-13,Customer Service Representatives,113,Wyoming
Remote,155,91,"Software Developers, Applications",84,Wyoming
Remote,300,56,"Computer Occupations, All Other",56,Wyoming
Remote,286,10,Computer User Support Specialists,54,Wyoming
Remote,-78,-5,Postsecondary Teachers,40,Wyoming
Remote,363,37,Speech-Language Pathologists,37,Wyoming
Remote,483,-5,Telemarketers,35,Wyoming
Remote,142,21,Sales Managers,29,Wyoming
Remote,0,71,Loan Officers,24,Wyoming
Physical+Remote,-22,-14,Heavy and Tractor-Trailer Truck Drivers,25320,Wisconsin
Physical+Remote,-51,-1,Registered Nurses,9297,Wisconsin
Physical+Remote,-16,3,First-Line Supervisors of Retail Sales Workers,6600,Wisconsin
Physical+Remote,-19,5,Retail Salespersons,6085,Wisconsin
Physical+Remote,-25,7,Customer Service Representatives,4727,Wisconsin
Physical+Remote,-26,15,Light Truck or Delivery Services Drivers,4660,Wisconsin
Physical+Remote,1,18,Stock Clerks and Order Fillers,4072,Wisconsin
Physical+Remote,-1,6,First-Line Supervisors of Food Preparation and Serving Workers,4036,Wisconsin
Physical+Remote,-14,5,Personal Care Aides,3056,Wisconsin
Physical+Remote,-10,10,"Software Developers, Applications",3047,Wisconsin
Remote,15,-6,Insurance Sales Agents,568,Wisconsin
Remote,116,4,Customer Service Representatives,500,Wisconsin
Remote,138,36,"Software Developers, Applications",495,Wisconsin
Remote,178,33,"Computer Occupations, All Other",264,Wisconsin
Remote,5725,21,Childcare Workers,233,Wisconsin
Remote,82,78,Accountants and Auditors,171,Wisconsin
Remote,11,-13,Computer Systems Analysts,156,Wisconsin
Remote,135,25,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",155,Wisconsin
Remote,69,14,Computer User Support Specialists,149,Wisconsin
Remote,-46,31,"Sales Representatives, Services, All Other",143,Wisconsin
Physical+Remote,-18,-10,Heavy and Tractor-Trailer Truck Drivers,23904,West Virginia
Physical+Remote,-45,18,Registered Nurses,5336,West Virginia
Physical+Remote,-22,0,First-Line Supervisors of Retail Sales Workers,3204,West Virginia
Physical+Remote,-11,4,Retail Salespersons,2477,West Virginia
Physical+Remote,21,22,Light Truck or Delivery Services Drivers,2331,West Virginia
Physical+Remote,5,5,Customer Service Representatives,1772,West Virginia
Physical+Remote,-17,15,Driver/Sales Workers,1488,West Virginia
Physical+Remote,116,11,"Physicians and Surgeons, All Other",1456,West Virginia
Physical+Remote,42,24,Licensed Practical and Licensed Vocational Nurses,1330,West Virginia
Physical+Remote,43,15,Stock Clerks and Order Fillers,1128,West Virginia
Remote,497,0,Customer Service Representatives,454,West Virginia
Remote,-4,1,Insurance Sales Agents,342,West Virginia
Remote,1418,15,Telemarketers,334,West Virginia
Remote,156,51,"Software Developers, Applications",151,West Virginia
Remote,288,94,"Computer Occupations, All Other",124,West Virginia
Remote,350,177,Accountants and Auditors,72,West Virginia
Remote,-83,-10,Postsecondary Teachers,72,West Virginia
Remote,247,20,Network and Computer Systems Administrators,59,West Virginia
Remote,38,2,Registered Nurses,58,West Virginia
Remote,15,-22,Computer User Support Specialists,53,West Virginia
Remote,146,12,"Software Developers, Applications",1104,Washington
Remote,38,-6,Insurance Sales Agents,726,Washington
Remote,164,14,Customer Service Representatives,626,Washington
Remote,141,17,"Computer Occupations, All Other",498,Washington
Remote,3875,26,Childcare Workers,477,Washington
Remote,228,21,Marketing Managers,427,Washington
Remote,140,10,Computer User Support Specialists,367,Washington
Remote,28,-2,Sales Managers,315,Washington
Remote,115,1,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",254,Washington
Remote,-6,1,"Sales Representatives, Services, All Other",252,Washington
Physical+Remote,26,3,"Software Developers, Applications",19288,Washington
Physical+Remote,-15,9,Registered Nurses,18091,Washington
Physical+Remote,-17,-8,Heavy and Tractor-Trailer Truck Drivers,12291,Washington
Physical+Remote,42,3,Marketing Managers,9665,Washington
Physical+Remote,35,4,"Computer Occupations, All Other",8487,Washington
Physical+Remote,-16,5,Retail Salespersons,7235,Washington
Physical+Remote,44,23,Stock Clerks and Order Fillers,7078,Washington
Physical+Remote,-13,-2,First-Line Supervisors of Retail Sales Workers,6690,Washington
Physical+Remote,7,8,Customer Service Representatives,6068,Washington
Physical+Remote,12,23,Light Truck or Delivery Services Drivers,5634,Washington
Physical+Remote,-23,-10,Heavy and Tractor-Trailer Truck Drivers,33197,Virginia
Physical+Remote,0,-1,"Software Developers, Applications",18015,Virginia
Physical+Remote,-27,7,Registered Nurses,17945,Virginia
Physical+Remote,6,1,"Computer Occupations, All Other",12227,Virginia
Physical+Remote,5,-1,Network and Computer Systems Administrators,10886,Virginia
Physical+Remote,-18,0,First-Line Supervisors of Retail Sales Workers,10025,Virginia
Physical+Remote,-16,4,Retail Salespersons,9903,Virginia
Physical+Remote,-19,-5,Information Security Analysts,8811,Virginia
Physical+Remote,5,2,Computer User Support Specialists,7010,Virginia
Physical+Remote,-4,22,Light Truck or Delivery Services Drivers,6795,Virginia
Remote,91,-2,"Software Developers, Applications",1563,Virginia
Remote,125,14,"Computer Occupations, All Other",854,Virginia
Remote,32,-2,Insurance Sales Agents,790,Virginia
Remote,125,-8,Customer Service Representatives,727,Virginia
Remote,68,-2,Network and Computer Systems Administrators,689,Virginia
Remote,3200,6,Childcare Workers,627,Virginia
Remote,82,8,Computer User Support Specialists,447,Virginia
Remote,36,4,Computer Systems Analysts,370,Virginia
Remote,91,3,Web Developers,363,Virginia
Remote,20,-9,Information Security Analysts,331,Virginia
Physical+Remote,-36,-1,Registered Nurses,3674,Vermont
Physical+Remote,-33,-27,Heavy and Tractor-Trailer Truck Drivers,2655,Vermont
Physical+Remote,-16,2,First-Line Supervisors of Retail Sales Workers,1153,Vermont
Physical+Remote,-2,8,Retail Salespersons,1057,Vermont
Physical+Remote,-3,2,Customer Service Representatives,755,Vermont
Physical+Remote,-31,2,Light Truck or Delivery Services Drivers,693,Vermont
Physical+Remote,41,6,Personal Care Aides,581,Vermont
Physical+Remote,24,25,"Software Developers, Applications",568,Vermont
Physical+Remote,41,-10,Licensed Practical and Licensed Vocational Nurses,555,Vermont
Physical+Remote,54,3,"Physicians and Surgeons, All Other",473,Vermont
Remote,74,-2,Customer Service Representatives,122,Vermont
Remote,-60,9,Insurance Sales Agents,114,Vermont
Remote,44,10,"Software Developers, Applications",95,Vermont
Remote,138,3,"Computer Occupations, All Other",76,Vermont
Remote,0,48,Loan Officers,46,Vermont
Remote,159,7,Network and Computer Systems Administrators,44,Vermont
Remote,0,35,Childcare Workers,42,Vermont
Remote,78,32,Accountants and Auditors,41,Vermont
Remote,135,43,Marketing Managers,40,Vermont
Remote,3,-9,Computer Systems Analysts,39,Vermont
Physical+Remote,-10,5,Heavy and Tractor-Trailer Truck Drivers,7059,Utah
Physical+Remote,-15,9,Retail Salespersons,3317,Utah
Physical+Remote,-8,15,"Software Developers, Applications",2944,Utah
Physical+Remote,28,48,Light Truck or Delivery Services Drivers,2898,Utah
Physical+Remote,-19,9,Customer Service Representatives,2883,Utah
Physical+Remote,-20,1,First-Line Supervisors of Retail Sales Workers,2807,Utah
Physical+Remote,-55,-2,Registered Nurses,2356,Utah
Physical+Remote,21,22,Stock Clerks and Order Fillers,2307,Utah
Physical+Remote,97,19,Childcare Workers,1634,Utah
Physical+Remote,-8,14,"Computer Occupations, All Other",1552,Utah
Remote,210,32,Customer Service Representatives,406,Utah
Remote,122,16,"Software Developers, Applications",368,Utah
Remote,-68,-4,Insurance Sales Agents,365,Utah
Remote,93,14,"Computer Occupations, All Other",158,Utah
Remote,74,24,Computer User Support Specialists,148,Utah
Remote,85,28,Marketing Managers,102,Utah
Remote,113,-1,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",96,Utah
Remote,1483,23,Childcare Workers,95,Utah
Remote,129,27,Network and Computer Systems Administrators,94,Utah
Remote,-49,22,"Sales Representatives, Services, All Other",88,Utah
Physical+Remote,-31,-8,Heavy and Tractor-Trailer Truck Drivers,57879,Texas
Physical+Remote,-24,7,Registered Nurses,44230,Texas
Physical+Remote,-17,-3,First-Line Supervisors of Retail Sales Workers,30202,Texas
Physical+Remote,-15,0,Retail Salespersons,27207,Texas
Physical+Remote,-11,-6,"Software Developers, Applications",24298,Texas
Physical+Remote,-18,-1,Customer Service Representatives,20973,Texas
Physical+Remote,-19,-7,"Computer Occupations, All Other",13153,Texas
Physical+Remote,1,7,Stock Clerks and Order Fillers,12978,Texas
Physical+Remote,-30,-1,Light Truck or Delivery Services Drivers,11992,Texas
Physical+Remote,-17,-2,First-Line Supervisors of Food Preparation and Serving Workers,11770,Texas
Remote,295,10,Customer Service Representatives,3419,Texas
Remote,156,19,"Software Developers, Applications",3002,Texas
Remote,120,-3,Insurance Sales Agents,2769,Texas
Remote,95,16,"Computer Occupations, All Other",1288,Texas
Remote,98,58,Accountants and Auditors,974,Texas
Remote,37,-10,Computer User Support Specialists,895,Texas
Remote,1506,6,Childcare Workers,803,Texas
Remote,637,-11,Loan Officers,744,Texas
Remote,114,-1,Web Developers,641,Texas
Remote,42,-5,Network and Computer Systems Administrators,635,Texas
Physical+Remote,-21,-4,Heavy and Tractor-Trailer Truck Drivers,32525,Tennessee
Physical+Remote,-34,7,Registered Nurses,12465,Tennessee
Physical+Remote,-17,1,First-Line Supervisors of Retail Sales Workers,8734,Tennessee
Physical+Remote,-8,6,Retail Salespersons,7836,Tennessee
Physical+Remote,-16,9,Customer Service Representatives,5524,Tennessee
Physical+Remote,-13,6,Light Truck or Delivery Services Drivers,4584,Tennessee
Physical+Remote,18,15,Stock Clerks and Order Fillers,4443,Tennessee
Physical+Remote,-18,3,First-Line Supervisors of Food Preparation and Serving Workers,3702,Tennessee
Physical+Remote,-5,18,"Software Developers, Applications",3191,Tennessee
Physical+Remote,-22,8,"Combined Food Preparation and Serving Workers, Including Fast Food",3139,Tennessee
Remote,186,14,Customer Service Representatives,922,Tennessee
Remote,29,4,Insurance Sales Agents,684,Tennessee
Remote,130,28,"Software Developers, Applications",594,Tennessee
Remote,238,51,"Computer Occupations, All Other",324,Tennessee
